v_categories_id,v_categories_image,v_categories_name_1,v_categories_description_1,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
1,FIStore/BannerFinalInspection.png,Final Inspection,"<div class=""infobox_container"">  <div class=""infobox fullbox longbox"">    <div class=""longbox_pic"">      <img src=""images/FIStore/JohnDetailing.jpg"" alt=""We Use Final Inspection Products at Tigersoft Performance"">    </div>    <div class=""longbox_text"">      <h2>Buy from the experts</h2>      <p>When you buy Final Inspection products through Tigersoft Performance&#44 you are not simply buying from another retailer. We use these products every day detailing the cars of our customers to perfection&#44 we know them inside and out. And so when you buy through us&#44 you also get expert advise from professionals that actually use the products they are selling.</p>    </div>  </div></div>",,,
2,FIStore/PaintCorrection.jpg,Paint Polishing Pads,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Final Inspection has a pad for every occasion!</p>  </div></div>",,,
3,FIStore/PolishingAccessories.jpg,Paint Polishing Accessories,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>All of the other stuff you need when Polishing.</p>  </div></div>",,,
4,FIStore/PaintPolishes.jpg,Paint Polishes,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>The Final Inspection range of CAP (Clustered Abrasive Polish) Polishes are amongst the very best polishes in the world</p>  </div></div>",,,
5,FIStore/PaintDecontamination.jpg,Paint Decontamination,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Everything you need to remove surface contaminants from the paint surface of your car</p>  </div></div>",,,
6,FIStore/PaintProtection.jpg,Paint Protection,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Final Inspection make the finest Paint Protection products in the world!</p>  </div></div>",,,
7,FIStore/LeatherCare.jpg,Leather Care,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Everything you need to keep the Leather in your car clean and soft.</p>  </div></div>",,,
8,FIStore/Accessories.jpg,Accessories,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Miscellaneous detailing accessories</p>  </div></div>",,,
9,FIStore/Glass.jpg,Glass,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Clean Glass can make all of the difference in the presentation of your car</p>  </div></div>",,,
10,FIStore/Nanofibre.jpg,NanoFibre,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>The finest Nanofibre detailing cloths available on the market today</p>  </div></div>",,,
11,FIStore/InteriorCleaning.jpg,Interior Cleaning,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Everything you need to keep the interior of your car clean and smelling fresh</p>  </div></div>",,,
12,FIStore/ExteriorCleaning.jpg,Exterior Cleaning,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Everything you need to wash the exterior of your car.</p>  </div></div>",,,
13,FIStore/WheelCare.jpg,Wheel Care,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>Remove the brake dust from your wheels with little time or effort required</p>  </div></div>",,,
14,FIStore/Kits.jpg,Bundles & Kits,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>These kits are all made up of Final Inspection products&#44 and come with full instructions</p>  </div></div>",,,
15,Tigersoft Performance/TigersoftPerformanceLogoBackground250x80.j,Find Stuff For My Car,"<div class=""infobox_container"">  <div class=""infobox fullbox"">      <p>You can find all of the products that we have available for your car by selecting the Make of your car below. Currently&#44 we only have Superchips and BMC Air Filters products in this section of the store.</p>  </div></div>",,,
16,,BMC Air Filters,,,,
17,,Superchips,,,,
18,,BC Forged Wheels,,,,
19,,BC Racing Coilovers,,,,
20,Superchips/bluefin_header.jpg,Bluefin,"<div class=""infobox_container""><div class=""infobox halfbox""><h2>Looking for a Bluefin?</h2><p>The best way to find the right Bluefin for your car is to visit the <a href=/FindStuffForMyCar>Find Stuff For My Car</a> section of our website</p></div><div class=""infobox halfbox""><h2>What is Bluefin and how does it work?</h2><p>Take a look at our <a href=/BluefinInformation>Bluefin Information Page</a></p></div></div>",,,
