"1","Alfa Romeo","145","1.9 JTD","100","130","30%","255","300","17%","Alfa-Romeo-145.jpg"
"2","Alfa Romeo","146","1.9 JTD","105","132","25%","255","300","17%","Alfa-Romeo-146.jpg"
"3","Alfa Romeo","147","1.9 JTD 100","100","130","30%","250","300","20%","Alfa-Romeo-147.jpg"
"4","Alfa Romeo","147","1.9 JTD 110","110","142","29%","275","310","12%","Alfa-Romeo-147.jpg"
"5","Alfa Romeo","147","1.9 JTD 115","115","145","26%","275","325","18%","Alfa-Romeo-147.jpg"
"6","Alfa Romeo","147","1.9 JTD 120","120","150","25%","280","340","21%","Alfa-Romeo-147.jpg"
"7","Alfa Romeo","147","1.9 JTD 140","140","170","21%","305","365","19%","Alfa-Romeo-147.jpg"
"8","Alfa Romeo","147","1.9 JTD 150","150","180","20%","305","370","21%","Alfa-Romeo-147.jpg"
"9","Alfa Romeo","156","1.9 JTD 105","105","140","33%","255","315","23%","Alfa-Romeo-156.jpg"
"10","Alfa Romeo","156","1.9 JTD 115","115","145","26%","275","325","18%","Alfa-Romeo-156.jpg"
"11","Alfa Romeo","156","1.9 JTD 110","110","140","27%","275","330","20%","Alfa-Romeo-156.jpg"
"12","Alfa Romeo","156","1.9 JTD 150","150","175","16%","305","360","18%","Alfa-Romeo-156.jpg"
"13","Alfa Romeo","156","1.9 JTD 140","140","170","21%","305","365","19%","Alfa-Romeo-156.jpg"
"14","Alfa Romeo","156","2.4 JTD 125","125","150","20%","295","340","15%","Alfa-Romeo-156.jpg"
"15","Alfa Romeo","156","2.4 JTD 150","150","180","20%","304","370","21%","Alfa-Romeo-156.jpg"
"16","Alfa Romeo","156","2.4 JTD 136","136","168","23%","310","370","19%","Alfa-Romeo-156.jpg"
"17","Alfa Romeo","156","2.4 JTD 140","140","173","23%","304","382","25%","Alfa-Romeo-156.jpg"
"18","Alfa Romeo","156","2.4 JTD 175","175","210","20%","385","480","24%","Alfa-Romeo-156.jpg"
"19","Alfa Romeo","159","1.75 TBI","200","235","17%","320","390","21%","Alfa-Romeo-159.jpg"
"20","Alfa Romeo","159","1.9 JTD 115","115","145","26%","275","340","23%","Alfa-Romeo-159.jpg"
"21","Alfa Romeo","159","1.9 JTD 120","120","145","20%","280","350","25%","Alfa-Romeo-159.jpg"
"22","Alfa Romeo","159","1.9 JTD 150","150","175","16%","320","375","17%","Alfa-Romeo-159.jpg"
"23","Alfa Romeo","159","1.9 JTD 136","136","180","32%","320","390","21%","Alfa-Romeo-159.jpg"
"24","Alfa Romeo","159","2.2 JTS","185","200","8%","230","260","13%","Alfa-Romeo-159.jpg"
"25","Alfa Romeo","159","2.4 JTD","200","230","15%","400","460","15%","Alfa-Romeo-159.jpg"
"26","Alfa Romeo","159","3.2 JTS","260","274","5%","320","350","9%","Alfa-Romeo-159.jpg"
"27","Alfa Romeo","159","2.0 JTDM","170","200","17%","360","440","22%","Alfa-Romeo-159.jpg"
"28","Alfa Romeo","166","2.4 JTD 136","136","168","23%","310","370","19%","Alfa-Romeo-166.jpg"
"29","Alfa Romeo","166","2.4 JTD 150","150","175","16%","305","382","25%","Alfa-Romeo-166.jpg"
"30","Alfa Romeo","166","2.4 JTD 140","140","173","23%","304","382","25%","Alfa-Romeo-166.jpg"
"31","Alfa Romeo","166","2.4 JTD 175","175","204","16%","385","450","16%","Alfa-Romeo-166.jpg"
"32","Alfa Romeo","Brera","2.2 JTS","185","200","8%","230","260","13%","Alfa-Romeo-Brera.jpg"
"33","Alfa Romeo","Brera","2.4 JTD","200","250","25%","400","460","15%","Alfa-Romeo-Brera.jpg"
"34","Alfa Romeo","Brera","3.2 JTS","260","274","5%","320","350","9%","Alfa-Romeo-Brera.jpg"
"35","Alfa Romeo","Brera","1.75 TBI","200","235","17%","320","390","21%","Alfa-Romeo-Brera.jpg"
"36","Alfa Romeo","Giulietta","1.4 TB","120","140","16%","206","250","21%","alfa-romeo-giulietta.jpg"
"37","Alfa Romeo","Giulietta","1.4 Turbo","170","190","11%","250","290","16%","alfa-romeo-giulietta.jpg"
"38","Alfa Romeo","Giulietta","1.75 TBI","232","254","9%","340","390","14%","alfa-romeo-giulietta.jpg"
"39","Alfa Romeo","Giulietta","1.6 JTDM","105","138","31%","320","365","14%","alfa-romeo-giulietta.jpg"
"40","Alfa Romeo","Giulietta","2.0 JTDM","170","200","17%","360","440","22%","alfa-romeo-giulietta.jpg"
"41","Alfa Romeo","GT","1.9 JTD","120","145","20%","280","350","25%","Alfa-Romeo-GT.jpg"
"42","Alfa Romeo","GT","1.9 JTD M-JET 20V","150","175","16%","305","355","16%","Alfa-Romeo-GT.jpg"
"43","Alfa Romeo","Mito","1.4 16v","95","101","6%","129","140","8%","Alfa-Romeo-MiTo.jpg"
"44","Alfa Romeo","Mito","1.4 TB","120","140","16%","206","250","21%","Alfa-Romeo-MiTo.jpg"
"45","Alfa Romeo","Mito","1.4 Turbo - 155","155","175","12%","230","270","17%","Alfa-Romeo-MiTo.jpg"
"46","Alfa Romeo","Mito","1.3 JTD","90","110","22%","200","240","20%","Alfa-Romeo-MiTo.jpg"
"47","Alfa Romeo","Mito","1.6 JTD","120","143","19%","320","365","14%","Alfa-Romeo-MiTo.jpg"
"48","Alfa Romeo","Mito","1.4 Turbo - 135","135","155","14%","207","260","25%","Alfa-Romeo-MiTo.jpg"
"49","Alfa Romeo","Mito","1.4 Turbo - 170","170","190","11%","250","290","16%","Alfa-Romeo-MiTo.jpg"
"50","Alfa Romeo","Spider","2.2 JTS","185","200","8%","230","260","13%","Alfa-Romeo-Spider.jpg"
"51","Alfa Romeo","Spider","3.2 JTS","260","274","5%","320","350","9%","Alfa-Romeo-Spider.jpg"
"52","Alfa Romeo","Spider","1.75 TBI","200","235","17%","320","390","21%","Alfa-Romeo-Spider.jpg"
"53","Alfa Romeo","Spider","2.0 JTDM","170","200","17%","360","440","22%","Alfa-Romeo-Spider.jpg"
"54","Alfa Romeo","Spider","2.4 JTD","210","238","13%","400","460","15%","Alfa-Romeo-Spider.jpg"
"55","Aston Martin","DB9","6.0L V12 - 450","450","470","4%","570","590","3%","aston-martin-db9.jpg"
"56","Aston Martin","DB9","6.0L V12 - 470","470","492","4%","600","620","3%","aston-martin-db9.jpg"
"57","Aston Martin","Rapide","6.0L V12 - 470","470","492","4%","600","620","3%","aston-martin-rapide.jpg"
"58","Aston Martin","Vantage","4.2L V8 - 380","380","399","5%","410","430","4%","aston-martin-vantage.jpg"
"59","Aston Martin","Vantage","4.2L V8 - 420","420","440","4%","470","490","4%","aston-martin-vantage.jpg"
"60","Aston Martin","Vantage","4200 V8 S - 430","430","440","2%","490","510","4%","aston-martin-vantage.jpg"
"61","Aston Martin","Vantage","6.0L V12","510","530","3%","570","590","3%","aston-martin-vantage.jpg"
"62","Aston Martin","Vantage Roadster","4.2L V8 - 380","380","399","5%","410","430","4%","aston-martin-vantage-roadster.jpg"
"63","Aston Martin","Vantage Roadster","4.2L V8 - 420","420","440","4%","470","490","4%","aston-martin-vantage-roadster.jpg"
"64","Audi","A1","1.2 TFSI","84","115","36%","160","210","31%","Audi-TTS.jpg"
"65","Audi","A1","1.4 TFSI","121","151","24%","200","250","25%","Audi-TTS.jpg"
"66","Audi","A1","1.6 TDI","103","125","21%","250","320","28%","Audi-TTS.jpg"
"67","Audi","A2","1.4 TDI PD 75","75","101","34%","195","245","25%","Audi-A2.jpg"
"68","Audi","A2","1.4 TDI PD 90","90","116","28%","230","275","19%","Audi-A2.jpg"
"69","Audi","A3","1.6 FSI - 115","115","127","10%","155","170","9%","Audi-A3.jpg"
"70","Audi","A3","1.8 20V","125","132","5%","173","182","5%","Audi-A3.jpg"
"71","Audi","A3","1.8T 20V 150","150","192","28%","210","270","28%","Audi-A3.jpg"
"72","Audi","A3","1.8T 20V 180","180","211","17%","235","300","27%","Audi-A3.jpg"
"73","Audi","A3","1.8 Fsi Turbo","157","200","27%","250","290","16%","Audi-A3.jpg"
"74","Audi","A3","1.9 TDI 90","90","116","28%","210","265","26%","Audi-A3.jpg"
"75","Audi","A3","1.9 TDI 110","110","143","30%","235","290","23%","Audi-A3.jpg"
"76","Audi","A3","1.9 TDI PD 100","100","133","33%","240","300","25%","Audi-A3.jpg"
"77","Audi","A3","1.9 TDI PD 105","105","135","28%","250","320","28%","Audi-A3.jpg"
"78","Audi","A3","1.9 TDI PD 130","130","163","25%","310","405","30%","Audi-A3.jpg"
"79","Audi","A3","2.0 FSI","150","164","9%","200","216","8%","Audi-A3.jpg"
"80","Audi","A3","2.0 TDI 170","170","200","17%","350","400","14%","Audi-A3.jpg"
"81","Audi","A3","2.0 TDI PD 140","140","175","25%","320","395","23%","Audi-A3.jpg"
"82","Audi","A3","2.0 TDI (2008) 143","143","175","22%","320","395","23%","Audi-A3.jpg"
"83","Audi","A3","2.0 TDI (2008) 170","170","200","17%","350","400","14%","Audi-A3.jpg"
"84","Audi","A3","2.0 TDI (2008) 143 Boot Tricore","143","175","22%","320","395","23%","Audi-A3.jpg"
"85","Audi","A3","2.0 TDI (2008) 170 Boot Tricore","170","200","17%","350","400","14%","Audi-A3.jpg"
"86","Audi","A3","2.0 TFSI","200","240","20%","280","350","25%","Audi-A3.jpg"
"87","Audi","A3","3.2 V6","250","268","7%","320","345","7%","Audi-A3.jpg"
"88","Audi","A3","1.6 FSI - 100","100","112","12%","148","160","8%","Audi-A3.jpg"
"89","Audi","A3","1.2 TFSI","84","115","36%","160","210","31%","Audi-A3.jpg"
"90","Audi","A3","1.4 TFSI","121","151","24%","200","250","25%","Audi-A3.jpg"
"91","Audi","A3","1.6 TDI","103","125","21%","250","320","28%","Audi-A3.jpg"
"92","Audi","A3","2.0 TDI - 150PS","150","175","16%","320","395","23%","Audi-A3.jpg"
"93","Audi","A4","1.8 20V","125","132","5%","173","182","5%","Audi-A4.jpg"
"94","Audi","A4","1.8 T 150","150","192","28%","210","270","28%","Audi-A4.jpg"
"95","Audi","A4","1.8 T 163","163","195","19%","225","295","31%","Audi-A4.jpg"
"96","Audi","A4","1.8 T 180","180","211","17%","235","300","27%","Audi-A4.jpg"
